sample_id,source_file,source_group,class_id,class_name,split,sample_rate,channels,duration,num_samples,start_sample,end_sample
background_noise_00000.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block000,2,background_noise,train,16000,1,1.0,16000,0,16000
background_noise_00001.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block001,2,background_noise,test,16000,1,1.0,16000,16000,32000
background_noise_00002.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block002,2,background_noise,train,16000,1,1.0,16000,32000,48000
background_noise_00003.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block003,2,background_noise,train,16000,1,1.0,16000,48000,64000
background_noise_00004.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block004,2,background_noise,train,16000,1,1.0,16000,64000,80000
background_noise_00005.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block005,2,background_noise,train,16000,1,1.0,16000,80000,96000
background_noise_00006.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block006,2,background_noise,train,16000,1,1.0,16000,96000,112000
background_noise_00007.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block007,2,background_noise,validation,16000,1,1.0,16000,112000,128000
background_noise_00008.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block008,2,background_noise,test,16000,1,1.0,16000,128000,144000
background_noise_00009.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block009,2,background_noise,train,16000,1,1.0,16000,144000,160000
background_noise_00010.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block010,2,background_noise,train,16000,1,1.0,16000,160000,176000
background_noise_00011.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block011,2,background_noise,train,16000,1,1.0,16000,176000,192000
background_noise_00012.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block012,2,background_noise,train,16000,1,1.0,16000,192000,208000
background_noise_00013.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block013,2,background_noise,train,16000,1,1.0,16000,208000,224000
background_noise_00014.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block014,2,background_noise,train,16000,1,1.0,16000,224000,240000
background_noise_00015.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block015,2,background_noise,train,16000,1,1.0,16000,240000,256000
background_noise_00016.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block016,2,background_noise,train,16000,1,1.0,16000,256000,272000
background_noise_00017.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block017,2,background_noise,train,16000,1,1.0,16000,272000,288000
background_noise_00018.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block018,2,background_noise,train,16000,1,1.0,16000,288000,304000
background_noise_00019.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block019,2,background_noise,train,16000,1,1.0,16000,304000,320000
background_noise_00020.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block020,2,background_noise,validation,16000,1,1.0,16000,320000,336000
background_noise_00021.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block021,2,background_noise,validation,16000,1,1.0,16000,336000,352000
background_noise_00022.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block022,2,background_noise,train,16000,1,1.0,16000,352000,368000
background_noise_00023.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block023,2,background_noise,train,16000,1,1.0,16000,368000,384000
background_noise_00024.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block024,2,background_noise,train,16000,1,1.0,16000,384000,400000
background_noise_00025.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block025,2,background_noise,train,16000,1,1.0,16000,400000,416000
background_noise_00026.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block026,2,background_noise,validation,16000,1,1.0,16000,416000,432000
background_noise_00027.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block027,2,background_noise,train,16000,1,1.0,16000,432000,448000
background_noise_00028.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block028,2,background_noise,train,16000,1,1.0,16000,448000,464000
background_noise_00029.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block029,2,background_noise,train,16000,1,1.0,16000,464000,480000
background_noise_00030.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block030,2,background_noise,train,16000,1,1.0,16000,480000,496000
background_noise_00031.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block031,2,background_noise,train,16000,1,1.0,16000,496000,512000
background_noise_00032.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block032,2,background_noise,validation,16000,1,1.0,16000,512000,528000
background_noise_00033.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block033,2,background_noise,train,16000,1,1.0,16000,528000,544000
background_noise_00034.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block034,2,background_noise,train,16000,1,1.0,16000,544000,560000
background_noise_00035.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block035,2,background_noise,train,16000,1,1.0,16000,560000,576000
background_noise_00036.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block036,2,background_noise,test,16000,1,1.0,16000,576000,592000
background_noise_00037.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block037,2,background_noise,validation,16000,1,1.0,16000,592000,608000
background_noise_00038.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block038,2,background_noise,train,16000,1,1.0,16000,608000,624000
background_noise_00039.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block039,2,background_noise,train,16000,1,1.0,16000,624000,640000
background_noise_00040.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block040,2,background_noise,train,16000,1,1.0,16000,640000,656000
background_noise_00041.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block041,2,background_noise,train,16000,1,1.0,16000,656000,672000
background_noise_00042.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block042,2,background_noise,train,16000,1,1.0,16000,672000,688000
background_noise_00043.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block043,2,background_noise,train,16000,1,1.0,16000,688000,704000
background_noise_00044.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block044,2,background_noise,train,16000,1,1.0,16000,704000,720000
background_noise_00045.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block045,2,background_noise,train,16000,1,1.0,16000,720000,736000
background_noise_00046.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block046,2,background_noise,train,16000,1,1.0,16000,736000,752000
background_noise_00047.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block047,2,background_noise,test,16000,1,1.0,16000,752000,768000
background_noise_00048.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block048,2,background_noise,train,16000,1,1.0,16000,768000,784000
background_noise_00049.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block049,2,background_noise,train,16000,1,1.0,16000,784000,800000
background_noise_00050.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block050,2,background_noise,validation,16000,1,1.0,16000,800000,816000
background_noise_00051.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block051,2,background_noise,train,16000,1,1.0,16000,816000,832000
background_noise_00052.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block052,2,background_noise,train,16000,1,1.0,16000,832000,848000
background_noise_00053.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block053,2,background_noise,test,16000,1,1.0,16000,848000,864000
background_noise_00054.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block054,2,background_noise,train,16000,1,1.0,16000,864000,880000
background_noise_00055.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block055,2,background_noise,train,16000,1,1.0,16000,880000,896000
background_noise_00056.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block056,2,background_noise,train,16000,1,1.0,16000,896000,912000
background_noise_00057.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block057,2,background_noise,train,16000,1,1.0,16000,912000,928000
background_noise_00058.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block058,2,background_noise,train,16000,1,1.0,16000,928000,944000
background_noise_00059.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block059,2,background_noise,test,16000,1,1.0,16000,944000,960000
background_noise_00060.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block060,2,background_noise,train,16000,1,1.0,16000,960000,976000
background_noise_00061.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block061,2,background_noise,train,16000,1,1.0,16000,976000,992000
background_noise_00062.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block062,2,background_noise,train,16000,1,1.0,16000,992000,1008000
background_noise_00063.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block063,2,background_noise,train,16000,1,1.0,16000,1008000,1024000
background_noise_00064.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block064,2,background_noise,train,16000,1,1.0,16000,1024000,1040000
background_noise_00065.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block065,2,background_noise,train,16000,1,1.0,16000,1040000,1056000
background_noise_00066.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block066,2,background_noise,train,16000,1,1.0,16000,1056000,1072000
background_noise_00067.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block067,2,background_noise,validation,16000,1,1.0,16000,1072000,1088000
background_noise_00068.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block068,2,background_noise,train,16000,1,1.0,16000,1088000,1104000
background_noise_00069.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block069,2,background_noise,train,16000,1,1.0,16000,1104000,1120000
background_noise_00070.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block070,2,background_noise,train,16000,1,1.0,16000,1120000,1136000
background_noise_00071.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block071,2,background_noise,train,16000,1,1.0,16000,1136000,1152000
background_noise_00072.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block072,2,background_noise,train,16000,1,1.0,16000,1152000,1168000
background_noise_00073.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block073,2,background_noise,train,16000,1,1.0,16000,1168000,1184000
background_noise_00074.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block074,2,background_noise,test,16000,1,1.0,16000,1184000,1200000
background_noise_00075.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block075,2,background_noise,train,16000,1,1.0,16000,1200000,1216000
background_noise_00076.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block076,2,background_noise,train,16000,1,1.0,16000,1216000,1232000
background_noise_00077.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block077,2,background_noise,train,16000,1,1.0,16000,1232000,1248000
background_noise_00078.wav,dataset\raw\background_noise\background_noise_raw.wav,background_block078,2,background_noise,train,16000,1,1.0,16000,1248000,1264000
